COMPANY,DBA,ADDR1,ADDR2,CITY,ST,ZIP,REGION,STARTDT,URL,STRUCTURE,BUS-TYP-CTR,BUS-TYPE,PNAICS,INDUSTRY,NAICS_CT,NAICS,PSC-CTR,PSC,GOV_POC_FN,GOV_POC_MI,GOV_POC_LN,TITLE,GOV_POC_TEL,GOV_POC_EXTN,GOV_POC_FAX,GOV_POC_EMAIL,SB_TYPS_CTR,SB_TYP,8A,8A JV,SDB,HZ,MNR,WOB,CERT
"A & W MECHANICAL AND FABRICATION, INC.",,6889 US HIGHWAY 341 S,,ROBERTA,GA,31078,SOUTH,19940718,www.awmechfab.com,2L,2,2X~VW,332312,MANUFACTURING,12,238220Y~332312Y~332323Y~332710Y~332721Y~332811Y~332812Y~332999Y~333514Y~333517Y~336413Y~336992Y,178,J016~J017~J019~J020~J022~J023~J024~J029~J030~J032~J034~J035~J036~J037~J038~J039~J040~J041~J044~J045~J046~J047~J048~J049~J051~J054~J073~J079~J081~J087~J095~J099~J998~K015~K016~K017~K019~K020~K022~K024~K029~K030~K032~K034~K035~K036~K037~K038~K039~K040~K041~,WENDY,,PERRY,,4788365020,,4788364905,AWMECHFAB@AOL.COM,0,,,,,,,,
ADULLAM INC.,,10124 DOUGLAS OAKS CIR 101,,TAMPA,FL,33610,SOUTH,20080801,,2L,8,23~27~2X~8E~8W~A2~OY~VW,425120,WHLS/RETAIL/TRANSPORT,236,238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990Y~314999Y~321911Y~321912Y~321918Y~321920Y~321991Y~321992Y~321999Y~322211Y~322212Y~322291Y~322299Y~323111Y,0,,SONYA,,DAVIS,,8137358781,,8888781174,adullaminc@yahoo.com,0,,,,,,BL,Y,
AEROSAGE LLC,AEROSAGE SERVICES & PRODUCTS,3825 HENDERSON BLVD STE 200,,TAMPA,FL,33629,SOUTH,20081226,http://www.aerosage.com,2L,5,2X~A5~QF~VW~XS,425120,WHLS/RETAIL/TRANSPORT,118,115112Y~212321Y~221210Y~221310Y~236210Y~236220Y~237130Y~238210Y~238220Y~238290Y~324110Y~324122Y~325120Y~325320Y~333132Y~333241Y~333318Y~333618Y~333911Y~333913Y~334111Y~334210Y~334220Y~334310Y~334417Y~334419Y~334510Y~334515Y~334519Y~335122Y~335129Y~335210Y,8,1680~5935~5995~5999~6110~6115~9140~B599,DAVID,,SNYDER,,8136446800,,8136446804,dmtsnyder@aerosage.com,0,,,,,,,,
BOGUCKI ENTERPRISES LLC,VB SERVICES,1809 N BLACK HORSE PIKE STE 11,,WILLIAMSTOWN,NJ,8094,NORTHEAST,20040405,http://www.boguckienterprises.com,ZZ,3,2X~LJ~VW,423390,WHLS/RETAIL/TRANSPORT,350,221330Y~236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~237210Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990Y,0,,ANTHONY,,BOGUCKI,COO,8565132234,1,8568633590,Vincent@boguckienterprises.com,0,,,,,,,,
BOHEMIA LABORATORIES INC,,141 S 5TH ST OFFICE EAST STE 1,,BROOKLYN,NY,11211,NORTHEAST,20140527,http://www.bohemialabs.org/,2L,6,23~27~2X~LJ~OY~VW,518210,PROF/TECH SVCS,85,236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237130Y~237210Y~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990Y~325414Y~423430Y~423820Y~423830Y~511210Y,116,6117~6505~AA11~AA12~AA31~AA32~AA91~AA92~AE11~AE12~AE21~AE22~AE31~AE32~AE91~AE92~AF11~AF12~AG41~AG42~AG71~AG72~AG81~AG82~AG91~AG92~AH11~AH12~AH21~AH22~AH31~AH32~AH41~AH42~AJ21~AJ22~AJ23~AJ24~AJ25~AJ26~AJ27~AJ32~AJ41~AJ42~AJ51~AJ52~AJ61~AJ62~AJ71~AJ72~AJ91~,CHI,,UKAOHA,,9175938188,,,cu@bohemialabs.org,0,,,,,,BL,,
"CHANDLER & CAMPBELLE INVESTMENT GROUP, LLC","CHANDLER AND CAMPBELLE GROUP,THE",310 VIZCAYA DR,,PALM BEACH GARDENS,FL,33418,SOUTH,20041124,http://www.chandlercampbelle.com,2L,6,27~2X~HQ~OY~VW~XS,541611,ADMIN/BUSINESS SVCS,95,314910Y~332710Y~332721Y~332994Y~332999Y~333314Y~333514Y~333911Y~333912Y~333991Y~333992Y~333999Y~334111Y~334118Y~334220Y~334412Y~334417Y~334419Y~334511Y~334513Y~334514Y~334515Y~334519Y~335110Y~335122Y~335129Y~335311Y~335312Y~335911Y~335929Y~335991Y~336411Y,7,AK11~AK13~AK16~R708~R710~U008~U099,DARRELL,B,SEARCY,,4046439747,,5618286382,Darrell@chandlercampbelle.com,1,A620180821,X,,,,BL,,C
"CONSTRUCT CORPS, L.L.C.",,5820 W CYPRESS ST STE A,,TAMPA,FL,33607,SOUTH,20001026,www.constructcorps.com,2L,6,23~27~2X~LJ~PI~VW,561320,ADMIN/BUSINESS SVCS,15,561210Y~561320Y~561720Y~561730N~561740N~561790N~561990N~562111Y~562112Y~562119Y~562219Y~562910E~562920Y~562991N~562998N,160,H130~H138~H154~J041~J043~J044~J054~J055~J056~J059~J060~J061~J062~J063~Z1AA~Z1AB~Z1AZ~Z1BA~Z1BB~Z1BC~Z1BD~Z1BE~Z1BF~Z1BG~Z1BZ~Z1CA~Z1CZ~Z1DA~Z1DB~Z1DZ~Z1EA~Z1EB~Z1EC~Z1ED~Z1EE~Z1EZ~Z1FA~Z1FB~Z1FC~Z1FD~Z1FE~Z1FF~Z1FZ~Z1GA~Z1GB~Z1GC~Z1GD~Z1GZ~Z1HA~Z1HB~Z1HC~,RICHARD,L,CAHILL,,8665326777,442,8132179825,RCahill@ConstructCorps.com,0,,,,,,HI,,
DELOIS ALBERT BRASSELL ESTATE,ESTATE OF DELOIS ALBERT BRASSELL,40 LANTERN ST BSMT,,HUNTINGTON,NY,11743,NORTHEAST,20030816,,ZZ,2,2U~VW,551112,ADMIN/BUSINESS SVCS,281,114210N~115113N~115115N~115116N~115210N~213111N~213112N~236210N~236220N~237110N~237130N~237210N~238210N~238290N~311111N~311119N~311423N~311615N~313240N~313310N~313320N~314110N~321991N~321992N~322299N~323111N~323113N~323117N~327211N~327212N~327215N~327991N,110,7310~AJ11~AJ12~AJ13~AJ14~AJ15~AJ16~AJ17~AJ22~AJ27~AJ97~AK11~AK12~AK13~AK14~AK15~AK16~AK17~AL11~AL12~AL13~AL14~AL15~AL16~AL17~AL21~AL22~AL23~AL24~AL25~AL26~AL27~AL91~AL92~AL93~AL94~AL95~AL96~AL97~AP41~AP42~AP43~AQ11~AQ12~AQ13~AQ14~AQ15~AQ16~AQ17~AQ96~G099~,ROBERT,J,BRASSELL JR,SOLE ESTATE ADMINISTRATOR,9172630857,,2124540652,Hu7138e4i1@aol.com,0,,,,,,,,
"DIAMOND POWER CONSULTANT GROUP, INC.",,384 E 35TH ST,,BROOKLYN,NY,11203,NORTHEAST,20040213,HTTP://WWW.DIAMOND-POWER-CONSULTANT.COM,2L,5,23~2X~OY~VW~XS,541618,ADMIN/BUSINESS SVCS,265,541110Y~541120 ~541191Y~541199Y~541211Y~541213Y~541214Y~541219Y~541310Y~541320Y~541330E~541340Y~541350Y~541360Y~541370Y~541380Y~541410Y~541420Y~541430Y~541490Y~541511Y~541512Y~541513Y~541519E~541611Y~541612Y~541613Y~541614Y~541618Y~541620Y~541690Y~541711Y,8,R408~R498~U001~U006~U008~U011~U012~U099,WOODY,A,CHARLES,,6464166988,,6464166706,DIAMOND-POWER-CONSULTANT@LIVE.COM,0,,,,,,BL,,
DIVISION CONSTRUCTION INC,,1425 BROADWAY APT 2F,,ASTORIA,NY,11106,NORTHEAST,20130722,http://www.divisionconstructioninc.com,2L,6,27~2X~A5~QF~VW~XS,236220,CONSTRUCTION,48,236210Y~236220Y~237110Y~237120Y~237130Y~237210Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990Y~333923Y~423610Y~423690Y~423710Y~423720Y,191,C1AA~C1AB~C1AZ~C1BA~C1BB~C1BC~C1BD~C1BE~C1BF~C1BG~C1BZ~C1CA~C1CZ~C1DA~C1DB~C1DZ~C1EB~C1EC~C1ED~C1EZ~C1FB~C1FC~C1FD~C1FE~C1FF~C1GD~C1GZ~C1HA~C1HC~C1HZ~C1JA~C1JZ~C1LA~C1LB~C1LC~C1MG~C1MH~C1MZ~C1NC~C1ND~C1NE~C1NZ~C1PA~C1PB~C1PD~C1PZ~C1QA~H100~Y100~Y1AA~Y1AB~,ANTHONY,,DIONISIO,TREASURER,3473216060,,,info@divisionconstructioninc.com,0,,,,,,,,
